river_id,river_name,latitude,longitude,created_at
1,荒川秩父,36.002780508653,139.071915553159,1742931245
2,荒川長瀞,36.0599059804081,139.094202928169,1742931245
3,荒川,35.787384062538,139.730467200279,1742931245
4,彩湖,35.8227458029097,139.628017544746,1742931245
5,渡良瀬遊水地,36.2095502580565,139.668990969658,1742931245
6,多摩川御岳,35.8031387858061,139.193493566965,1742931245
7,久慈川中流,36.7707743267218,140.350802502695,1742931245
8,利根川上流,36.803224123567,138.986468124226,1742931245
9,利根川中流,36.7521431116593,138.975528109375,1742931245
10,富士川釜口,35.5543666146552,138.47188663476,1742931245
11,奥只見湖,37.1354404174399,139.138652450357,1742931245
12,本栖湖,35.463201480884,138.602957725909,1742931245
13,那珂川中流,36.6529002945207,140.172542086121,1742931245
14,魚野川,37.0663755140824,138.875314716368,1742931245
15,千曲川,36.7321091203007,138.308379535312,1742931245
16,鬼怒川,36.7796321724646,139.711016520673,1742931245
17,奥利根湖,36.8638695483742,139.058393741302,1742931245
18,白丸湖,35.8119730062061,139.114842350395,1742931245
19,亀山湖,35.2234742780284,140.084521472454,1742931245
20,狩野川,34.9936214268323,138.9358279109,1742931245
21,袖ヶ浦,35.3147224793092,139.354094266891,1742931245
22,江戸川,35.9794734642229,139.827064275742,1742931245
